"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3005#1","3005","brick","Brick 1 x 1","stack"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3005#2","3005","brick","Brick 1 x 1","stack"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3020#1","3020","plate","Plate 2 x 4","stack"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3822p02#1","3822p02","panel","Door 1 x 3 x 1 Left","stack"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3020#2","3020","plate","Plate 2 x 4","stack"
"4212b#1","4212b","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, 1 x 2 Cutouts, No Center Hole","3821p02#1","3821p02","panel","Door 1 x 3 x 1 Right","stack"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3023#1","3023","plate","Plate 1 x 2","3022#1","3022","plate","Plate 2 x 2","touch"
"3023#1","3023","plate","Plate 1 x 2","3024#3","3024","plate","Plate 1 x 1","touch"
"3023#1","3023","plate","Plate 1 x 2","3024#4","3024","plate","Plate 1 x 1","touch"
"3023#1","3023","plate","Plate 1 x 2","4070#3","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3023#1","3023","plate","Plate 1 x 2","4070#4","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3023#1","3023","plate","Plate 1 x 2","3020#2","3020","plate","Plate 2 x 4","touch"
"3023#1","3023","plate","Plate 1 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3005#1","3005","brick","Brick 1 x 1","3020#2","3020","plate","Plate 2 x 4","touch"
"3005#1","3005","brick","Brick 1 x 1","3823#1","3823","panel","Windscreen 2 x 4 x 2","stack"
"3005#1","3005","brick","Brick 1 x 1","3823#2","3823","panel","Windscreen 2 x 4 x 2","stack"
"3005#1","3005","brick","Brick 1 x 1","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3005#2","3005","brick","Brick 1 x 1","3020#2","3020","plate","Plate 2 x 4","touch"
"3005#2","3005","brick","Brick 1 x 1","3823#1","3823","panel","Windscreen 2 x 4 x 2","stack"
"3005#2","3005","brick","Brick 1 x 1","3823#2","3823","panel","Windscreen 2 x 4 x 2","stack"
"3005#2","3005","brick","Brick 1 x 1","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3022#1","3022","plate","Plate 2 x 2","3024#3","3024","plate","Plate 1 x 1","touch"
"3022#1","3022","plate","Plate 2 x 2","3024#4","3024","plate","Plate 1 x 1","touch"
"3022#1","3022","plate","Plate 2 x 2","4070#3","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3022#1","3022","plate","Plate 2 x 2","4070#4","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3022#1","3022","plate","Plate 2 x 2","3020#2","3020","plate","Plate 2 x 4","touch"
"3022#1","3022","plate","Plate 2 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3004#1","3004","brick","Brick 1 x 2","4070#1","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3004#1","3004","brick","Brick 1 x 2","3024#1","3024","plate","Plate 1 x 1","touch"
"3004#1","3004","brick","Brick 1 x 2","3024#2","3024","plate","Plate 1 x 1","touch"
"3004#1","3004","brick","Brick 1 x 2","4070#2","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3004#1","3004","brick","Brick 1 x 2","3020#1","3020","plate","Plate 2 x 4","touch"
"3004#1","3004","brick","Brick 1 x 2","3822p02#1","3822p02","panel","Door 1 x 3 x 1 Left","touch"
"3004#1","3004","brick","Brick 1 x 2","3821p02#1","3821p02","panel","Door 1 x 3 x 1 Right","touch"
"3004#1","3004","brick","Brick 1 x 2","3823#1","3823","panel","Windscreen 2 x 4 x 2","stack"
"3004#1","3004","brick","Brick 1 x 2","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"4070#1","4070","brick","Brick Special 1 x 1 with Headlight","3024#1","3024","plate","Plate 1 x 1","touch"
"4070#1","4070","brick","Brick Special 1 x 1 with Headlight","3020#1","3020","plate","Plate 2 x 4","touch"
"4070#1","4070","brick","Brick Special 1 x 1 with Headlight","3823#1","3823","panel","Windscreen 2 x 4 x 2","stack"
"4070#1","4070","brick","Brick Special 1 x 1 with Headlight","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3024#1","3024","plate","Plate 1 x 1","3020#1","3020","plate","Plate 2 x 4","touch"
"3024#2","3024","plate","Plate 1 x 1","4070#2","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3024#2","3024","plate","Plate 1 x 1","3020#1","3020","plate","Plate 2 x 4","touch"
"3024#3","3024","plate","Plate 1 x 1","4070#3","4070","brick","Brick Special 1 x 1 with Headlight","touch"
"3024#3","3024","plate","Plate 1 x 1","3020#2","3020","plate","Plate 2 x 4","touch"
"3024#4","3024","plate","Plate 1 x 1","4070#4","4070","brick","Brick Special 1 x 1 with Headlight","touch"
