"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3795#1","3795","plate","Plate 2 x 6","3666#1","3666","plate","Plate 1 x 6","touch"
"3795#1","3795","plate","Plate 2 x 6","3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","touch"
"3795#1","3795","plate","Plate 2 x 6","3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","touch"
"3795#1","3795","plate","Plate 2 x 6","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3795#1","3795","plate","Plate 2 x 6","3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3795#1","3795","plate","Plate 2 x 6","3002#1","3002","brick","Brick 2 x 3","touch"
"3795#1","3795","plate","Plate 2 x 6","3021#1","3021","plate","Plate 2 x 3","stack"
"3795#1","3795","plate","Plate 2 x 6","3021#2","3021","plate","Plate 2 x 3","stack"
"3795#1","3795","plate","Plate 2 x 6","3622#1","3622","brick","Brick 1 x 3","stack"
"3795#1","3795","plate","Plate 2 x 6","3004#1","3004","brick","Brick 1 x 2","stack"
"3795#1","3795","plate","Plate 2 x 6","3004#2","3004","brick","Brick 1 x 2","stack"
"3795#1","3795","plate","Plate 2 x 6","3622#2","3622","brick","Brick 1 x 3","stack"
"3795#1","3795","plate","Plate 2 x 6","3023#1","3023","plate","Plate 1 x 2","touch"
"3795#1","3795","plate","Plate 2 x 6","3622#4","3622","brick","Brick 1 x 3","stack"
"3666#1","3666","plate","Plate 1 x 6","3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","touch"
"3666#1","3666","plate","Plate 1 x 6","3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","touch"
"3666#1","3666","plate","Plate 1 x 6","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3666#1","3666","plate","Plate 1 x 6","3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3666#1","3666","plate","Plate 1 x 6","3002#1","3002","brick","Brick 2 x 3","touch"
"3666#1","3666","plate","Plate 1 x 6","3021#1","3021","plate","Plate 2 x 3","stack"
"3666#1","3666","plate","Plate 1 x 6","3021#2","3021","plate","Plate 2 x 3","stack"
"3666#1","3666","plate","Plate 1 x 6","3622#1","3622","brick","Brick 1 x 3","stack"
"3666#1","3666","plate","Plate 1 x 6","3004#1","3004","brick","Brick 1 x 2","stack"
"3666#1","3666","plate","Plate 1 x 6","3004#2","3004","brick","Brick 1 x 2","stack"
"3666#1","3666","plate","Plate 1 x 6","3622#2","3622","brick","Brick 1 x 3","stack"
"3666#1","3666","plate","Plate 1 x 6","3622#4","3622","brick","Brick 1 x 3","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3002#1","3002","brick","Brick 2 x 3","touch"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#1","3021","plate","Plate 2 x 3","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#2","3021","plate","Plate 2 x 3","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3460#1","3460","plate","Plate 1 x 8","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3460#2","3460","plate","Plate 1 x 8","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#3","3021","plate","Plate 2 x 3","stack"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3622#1","3622","brick","Brick 1 x 3","touch"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3004#1","3004","brick","Brick 1 x 2","touch"
"3660#1","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3004#2","3004","brick","Brick 1 x 2","touch"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3002#1","3002","brick","Brick 2 x 3","touch"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#1","3021","plate","Plate 2 x 3","stack"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#2","3021","plate","Plate 2 x 3","stack"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3021#3","3021","plate","Plate 2 x 3","stack"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3622#2","3622","brick","Brick 1 x 3","touch"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3023#1","3023","plate","Plate 1 x 2","touch"
"3660#2","3660","technic","Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]","3622#4","3622","brick","Brick 1 x 3","touch"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3002#1","3002","brick","Brick 2 x 3","touch"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#1","3021","plate","Plate 2 x 3","stack"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#2","3021","plate","Plate 2 x 3","stack"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#3","3021","plate","Plate 2 x 3","stack"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3622#2","3622","brick","Brick 1 x 3","touch"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3023#1","3023","plate","Plate 1 x 2","touch"
"3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3622#4","3622","brick","Brick 1 x 3","touch"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3002#1","3002","brick","Brick 2 x 3","touch"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#1","3021","plate","Plate 2 x 3","stack"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#2","3021","plate","Plate 2 x 3","stack"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3460#1","3460","plate","Plate 1 x 8","stack"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3460#2","3460","plate","Plate 1 x 8","stack"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3021#3","3021","plate","Plate 2 x 3","stack"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3622#1","3622","brick","Brick 1 x 3","touch"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3004#1","3004","brick","Brick 1 x 2","touch"
"3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","3004#2","3004","brick","Brick 1 x 2","touch"
"3002#1","3002","brick","Brick 2 x 3","3021#1","3021","plate","Plate 2 x 3","stack"
"3002#1","3002","brick","Brick 2 x 3","3021#2","3021","plate","Plate 2 x 3","stack"
"3002#1","3002","brick","Brick 2 x 3","3460#1","3460","plate","Plate 1 x 8","stack"
"3002#1","3002","brick","Brick 2 x 3","3460#2","3460","plate","Plate 1 x 8","stack"
"3002#1","3002","brick","Brick 2 x 3","3021#3","3021","plate","Plate 2 x 3","stack"
"3002#1","3002","brick","Brick 2 x 3","3622#1","3622","brick","Brick 1 x 3","touch"
"3002#1","3002","brick","Brick 2 x 3","3004#1","3004","brick","Brick 1 x 2","touch"
"3002#1","3002","brick","Brick 2 x 3","3004#2","3004","brick","Brick 1 x 2","touch"
"3002#1","3002","brick","Brick 2 x 3","3622#2","3622","brick","Brick 1 x 3","touch"
"3002#1","3002","brick","Brick 2 x 3","3023#1","3023","plate","Plate 1 x 2","touch"
"3002#1","3002","brick","Brick 2 x 3","3622#4","3622","brick","Brick 1 x 3","touch"
"3021#1","3021","plate","Plate 2 x 3","3021#2","3021","plate","Plate 2 x 3","touch"
"3021#1","3021","plate","Plate 2 x 3","3460#1","3460","plate","Plate 1 x 8","touch"
"3021#1","3021","plate","Plate 2 x 3","3460#2","3460","plate","Plate 1 x 8","touch"
"3021#1","3021","plate","Plate 2 x 3","3021#3","3021","plate","Plate 2 x 3","touch"
"3021#2","3021","plate","Plate 2 x 3","3460#1","3460","plate","Plate 1 x 8","touch"
"3021#2","3021","plate","Plate 2 x 3","3460#2","3460","plate","Plate 1 x 8","touch"
"3021#2","3021","plate","Plate 2 x 3","3021#3","3021","plate","Plate 2 x 3","touch"
"3460#1","3460","plate","Plate 1 x 8","3460#2","3460","plate","Plate 1 x 8","touch"
"3460#1","3460","plate","Plate 1 x 8","3021#3","3021","plate","Plate 2 x 3","touch"
"3460#2","3460","plate","Plate 1 x 8","3021#3","3021","plate","Plate 2 x 3","touch"
"3622#1","3622","brick","Brick 1 x 3","3004#1","3004","brick","Brick 1 x 2","touch"
"3622#1","3622","brick","Brick 1 x 3","3004#2","3004","brick","Brick 1 x 2","touch"
"3622#1","3622","brick","Brick 1 x 3","3038#1","3038","slope","Slope 45° 2 x 3","touch"
"3622#1","3622","brick","Brick 1 x 3","3622#3","3622","brick","Brick 1 x 3","touch"
"3622#1","3622","brick","Brick 1 x 3","3622#5","3622","brick","Brick 1 x 3","touch"
"3622#1","3622","brick","Brick 1 x 3","3462#1","3462","plate","Plate Special 2 x 3 with Helicopter Rotor Holder","touch"
"3622#1","3622","brick","Brick 1 x 3","3461#1","3461","other","Propeller 4 Blade 5 Diameter with Hole for Rotor Holder","touch"
"3004#1","3004","brick","Brick 1 x 2","3004#2","3004","brick","Brick 1 x 2","touch"
"3004#1","3004","brick","Brick 1 x 2","3038#1","3038","slope","Slope 45° 2 x 3","touch"
