"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3795#1","3795","plate","Plate 2 x 6","3020#1","3020","plate","Plate 2 x 4","touch"
"3795#1","3795","plate","Plate 2 x 6","3710#1","3710","plate","Plate 1 x 4","touch"
"3795#1","3795","plate","Plate 2 x 6","3710#2","3710","plate","Plate 1 x 4","touch"
"3795#1","3795","plate","Plate 2 x 6","3023#2","3023","plate","Plate 1 x 2","touch"
"3795#1","3795","plate","Plate 2 x 6","3023#3","3023","plate","Plate 1 x 2","touch"
"3795#1","3795","plate","Plate 2 x 6","3023#4","3023","plate","Plate 1 x 2","touch"
"3795#1","3795","plate","Plate 2 x 6","3031#1","3031","plate","Plate 4 x 4","stack"
"3795#1","3795","plate","Plate 2 x 6","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3795#1","3795","plate","Plate 2 x 6","004659a#1","004659a","other","004659a","touch"
"3795#1","3795","plate","Plate 2 x 6","004659a#2","004659a","other","004659a","touch"
"3023#1","3023","plate","Plate 1 x 2","3020#1","3020","plate","Plate 2 x 4","touch"
"3023#1","3023","plate","Plate 1 x 2","3023#2","3023","plate","Plate 1 x 2","touch"
"3023#1","3023","plate","Plate 1 x 2","3031#1","3031","plate","Plate 4 x 4","stack"
"3023#1","3023","plate","Plate 1 x 2","3010p0d#1","3010p0d","brick","Brick 1 x 4","touch"
"3023#1","3023","plate","Plate 1 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3020#1","3020","plate","Plate 2 x 4","3710#1","3710","plate","Plate 1 x 4","touch"
"3020#1","3020","plate","Plate 2 x 4","3710#2","3710","plate","Plate 1 x 4","touch"
"3020#1","3020","plate","Plate 2 x 4","3023#2","3023","plate","Plate 1 x 2","touch"
"3020#1","3020","plate","Plate 2 x 4","3023#3","3023","plate","Plate 1 x 2","touch"
"3020#1","3020","plate","Plate 2 x 4","3023#4","3023","plate","Plate 1 x 2","touch"
"3020#1","3020","plate","Plate 2 x 4","3633#1","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3020#1","3020","plate","Plate 2 x 4","3633#2","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3020#1","3020","plate","Plate 2 x 4","3031#1","3031","plate","Plate 4 x 4","touch"
"3020#1","3020","plate","Plate 2 x 4","3010p0d#1","3010p0d","brick","Brick 1 x 4","touch"
"3020#1","3020","plate","Plate 2 x 4","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3020#1","3020","plate","Plate 2 x 4","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3710#1","3710","plate","Plate 1 x 4","3710#2","3710","plate","Plate 1 x 4","touch"
"3710#1","3710","plate","Plate 1 x 4","3633#1","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3710#1","3710","plate","Plate 1 x 4","3633#2","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3710#1","3710","plate","Plate 1 x 4","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3710#2","3710","plate","Plate 1 x 4","3633#1","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3710#2","3710","plate","Plate 1 x 4","3633#2","3633","bracket","Fence Lattice 1 x 4 x 1","stack"
"3710#2","3710","plate","Plate 1 x 4","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3710#2","3710","plate","Plate 1 x 4","3010#1","3010","brick","Brick 1 x 4","stack"
"3023#2","3023","plate","Plate 1 x 2","3023#3","3023","plate","Plate 1 x 2","touch"
"3023#2","3023","plate","Plate 1 x 2","3023#4","3023","plate","Plate 1 x 2","touch"
"3023#2","3023","plate","Plate 1 x 2","3031#1","3031","plate","Plate 4 x 4","touch"
"3023#2","3023","plate","Plate 1 x 2","3010p0d#1","3010p0d","brick","Brick 1 x 4","touch"
"3023#2","3023","plate","Plate 1 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#2","3023","plate","Plate 1 x 2","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#2","3023","plate","Plate 1 x 2","3010#1","3010","brick","Brick 1 x 4","stack"
"3023#3","3023","plate","Plate 1 x 2","3031#1","3031","plate","Plate 4 x 4","touch"
"3023#3","3023","plate","Plate 1 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#3","3023","plate","Plate 1 x 2","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#3","3023","plate","Plate 1 x 2","3010#1","3010","brick","Brick 1 x 4","stack"
"3023#3","3023","plate","Plate 1 x 2","004659a#2","004659a","other","004659a","touch"
"3023#4","3023","plate","Plate 1 x 2","3031#1","3031","plate","Plate 4 x 4","touch"
"3023#4","3023","plate","Plate 1 x 2","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#4","3023","plate","Plate 1 x 2","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#4","3023","plate","Plate 1 x 2","3010#1","3010","brick","Brick 1 x 4","stack"
"3023#4","3023","plate","Plate 1 x 2","004659a#1","004659a","other","004659a","touch"
"3633#1","3633","bracket","Fence Lattice 1 x 4 x 1","3633#2","3633","bracket","Fence Lattice 1 x 4 x 1","touch"
"3633#1","3633","bracket","Fence Lattice 1 x 4 x 1","3010#1","3010","brick","Brick 1 x 4","touch"
"3633#2","3633","bracket","Fence Lattice 1 x 4 x 1","3010#1","3010","brick","Brick 1 x 4","touch"
"3031#1","3031","plate","Plate 4 x 4","3010p0d#1","3010p0d","brick","Brick 1 x 4","touch"
"3031#1","3031","plate","Plate 4 x 4","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3031#1","3031","plate","Plate 4 x 4","3010#1","3010","brick","Brick 1 x 4","stack"
"3031#1","3031","plate","Plate 4 x 4","004659a#1","004659a","other","004659a","touch"
"3031#1","3031","plate","Plate 4 x 4","004659a#2","004659a","other","004659a","touch"
"3010p0d#1","3010p0d","brick","Brick 1 x 4","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3010p0d#1","3010p0d","brick","Brick 1 x 4","3010#1","3010","brick","Brick 1 x 4","touch"
"122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","004659a#1","004659a","other","004659a","touch"
"3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","004659a#2","004659a","other","004659a","touch"
"3010#1","3010","brick","Brick 1 x 4","3005#1","3005","brick","Brick 1 x 1","touch"
"3010#1","3010","brick","Brick 1 x 4","3005#2","3005","brick","Brick 1 x 1","touch"
"3010#1","3010","brick","Brick 1 x 4","3004#1","3004","brick","Brick 1 x 2","touch"
